id,title,description,location,price,beds,baths,sqft,image_url,is_featured,created_at,updated_at
209853d4-d0cb-4e85-bae6-040885cead40,Modern Apartment,,"Manchester, UK",450000,2,2,1200,https://images.unsplash.com/photo-1560518883-ce09059eeffa,true,2025-03-02 20:50:21.285065+00,2025-03-02 20:50:21.285065+00
46c14a2c-ab3c-428a-8597-b06c15acb53f,Family Home with Garden,Spacious family home with large garden and modern kitchen. Close to excellent schools.,"Leeds, UK",750000,5,3,2500,https://images.unsplash.com/photo-1518780664697-55e3ad937233,true,2025-03-02 20:54:58.935426+00,2025-03-02 20:54:58.935426+00
5468822a-60e4-45cf-acd4-713ce777ae2a,Riverside Apartment with Balcony,Beautiful riverside apartment featuring floor-to-ceiling windows and spacious balcony. Recently renovated.,"Birmingham, UK",450000,2,2,1100,https://images.unsplash.com/photo-1560518883-ce09059eeffa,true,2025-03-02 20:54:58.935426+00,2025-03-02 20:54:58.935426+00
5f2c04ff-2ab1-4c08-b7b4-2010cd4bda23,Luxury Penthouse with City Views,Stunning penthouse apartment with panoramic views of the city skyline. Features high-end finishes and private terrace.,"London, UK",2500000,3,3,2200,https://images.unsplash.com/photo-1512917774080-9991f1c4c750,true,2025-03-02 20:54:58.935426+00,2025-03-02 20:54:58.935426+00
6158c65f-443d-4fcb-b8c7-6ed32cdcd30b,Luxury Apartment in Mayfair,,"London, UK",1250000,3,2,1800,https://images.unsplash.com/photo-1560448204-e02f11c3d0e2,true,2025-03-02 20:43:18.003821+00,2025-03-02 20:43:18.003821+00
6284d524-2902-4644-8afc-4636e974efe3,Family Home,,"Birmingham, UK",650000,4,3,2500,https://images.unsplash.com/photo-1570129477492-45c003edd2be,true,2025-03-02 20:50:21.285065+00,2025-03-02 20:50:21.285065+00
9a581c78-219f-48af-8a47-059def2fb76b,Modern Townhouse in Central Location,Contemporary townhouse with open-plan living spaces and private garden. Walking distance to transport and amenities.,"Manchester, UK",850000,4,2,1800,https://images.unsplash.com/photo-1570129477492-45c003edd2be,true,2025-03-02 20:54:58.935426+00,2025-03-02 20:54:58.935426+00
b3bebf2d-002d-4d32-8c5d-86d48781794a,Riverside Penthouse,,"Manchester, UK",950000,2,2,1500,https://images.unsplash.com/photo-1580587771525-78b9dba3b914,true,2025-03-02 20:43:18.003821+00,2025-03-02 20:43:18.003821+00
b5f54a78-f2a5-4f84-8f12-76a6b8576a81,Modern Villa with Garden,,"Edinburgh, UK",1450000,4,3,3200,https://images.unsplash.com/photo-1512917774080-9991f1c4c750,true,2025-03-02 20:43:18.003821+00,2025-03-02 20:43:18.003821+00
cda357ed-34c9-435b-9093-64a77089d7fd,Luxury Penthouse,,"London, UK",1250000,3,2,2000,https://images.unsplash.com/photo-1512917774080-9991f1c4c750,true,2025-03-02 20:50:21.285065+00,2025-03-02 20:50:21.285065+00